location,age_group_id,mean
GBR,7,0.268
GBR,8,0.258
GBR,9,0.404
GBR,38,0.618
GBR,10,0.493
GBR,11,0.564
GBR,12,0.629
GBR,13,0.672
GBR,14,0.691
GBR,15,0.717
GBR,16,0.725
GBR,17,0.724
GBR,18,0.726
GBR,19,0.725
GBR,20,0.681
GBR,21,0.609
GEO,34,0.344
GEO,36,0.28
GEO,6,0.313
GEO,7,0.269
GEO,8,0.2
GEO,9,0.324
GEO,38,0.594
GEO,10,0.435
GEO,11,0.52
GEO,12,0.584
GEO,13,0.644
GEO,14,0.697
GEO,15,0.737
GEO,16,0.753
GEO,17,0.765
GEO,18,0.715
GEO,19,0.694
GEO,20,0.663
GEO,21,0.615
GHA,34,0.08
GHA,36,0.084
GHA,6,0.095
GHA,7,0.073
GHA,8,0.086
GHA,9,0.252
GHA,38,0.334
GHA,10,0.255
GHA,11,0.346
GHA,12,0.369
GHA,13,0.406
GHA,14,0.36
GHA,15,0.408
GHA,16,0.398
GHA,17,0.362
GHA,18,0.313
GHA,19,0.306
GHA,20,0.28
GHA,21,0.228
GIN,34,0.121
GIN,36,0.1
GIN,6,0.117
GIN,7,0.095
GIN,8,0.067
GIN,9,0.107
GIN,38,0.225
GIN,10,0.158
GIN,11,0.182
GIN,12,0.193
GIN,13,0.218
GIN,14,0.232
GIN,15,0.296
GIN,16,0.324
GIN,17,0.334
GIN,18,0.32
GIN,19,0.31
GIN,20,0.284
GIN,21,0.239
GMB,34,0.095
GMB,36,0.125
GMB,6,0.132
GMB,7,0.137
GMB,8,0.13
GMB,9,0.223
GMB,38,0.416
GMB,10,0.31
GMB,11,0.366
GMB,12,0.405
GMB,13,0.449
GMB,14,0.48
GMB,15,0.514
GMB,16,0.529
GMB,17,0.533
GMB,18,0.511
GMB,19,0.504
GMB,20,0.472
GMB,21,0.414
GNB,34,0.196
GNB,36,0.181
GNB,6,0.19
GNB,7,0.19
GNB,8,0.146
GNB,9,0.24
GNB,38,0.46
GNB,10,0.333
GNB,11,0.403
GNB,12,0.45
GNB,13,0.5
GNB,14,0.525
GNB,15,0.569
GNB,16,0.589
GNB,17,0.598
GNB,18,0.58
GNB,19,0.564
GNB,20,0.531
GNB,21,0.466
GNQ,34,0.324
GNQ,36,0.302
GNQ,6,0.314
GNQ,7,0.321
GNQ,8,0.25
GNQ,9,0.378
GNQ,38,0.615
GNQ,10,0.492
GNQ,11,0.566
GNQ,12,0.617
GNQ,13,0.659
GNQ,14,0.685
GNQ,15,0.722
GNQ,16,0.733
GNQ,17,0.738
GNQ,18,0.722
GNQ,19,0.715
GNQ,20,0.688
GNQ,21,0.633
GRC,34,0.266
GRC,36,0.314
GRC,6,0.336
GRC,7,0.399
GRC,8,0.245
GRC,9,0.376
GRC,38,0.613
GRC,10,0.458
GRC,11,0.552
GRC,12,0.598
GRC,13,0.665
GRC,14,0.671
GRC,15,0.718
GRC,16,0.751
GRC,17,0.763
GRC,18,0.746
GRC,19,0.751
GRC,20,0.737
GRC,21,0.653
GRD,34,0.164
GRD,36,0.163
GRD,6,0.169
GRD,7,0.18
GRD,8,0.137
GRD,9,0.222
GRD,38,0.436
GRD,10,0.309
GRD,11,0.376
GRD,12,0.426
GRD,13,0.469
GRD,14,0.501
GRD,15,0.546
GRD,16,0.562
GRD,17,0.566
GRD,18,0.551
GRD,19,0.544
GRD,20,0.504
GRD,21,0.453
GTM,34,0.148
GTM,36,0.165
GTM,6,0.135
GTM,7,0.184
GTM,8,0.192
GTM,9,0.327
GTM,38,0.484
GTM,10,0.44
GTM,11,0.535
GTM,12,0.58
GTM,13,0.626
GTM,14,0.606
GTM,15,0.581
GTM,16,0.512
GTM,17,0.442
GTM,18,0.386
GTM,19,0.363
GTM,20,0.309
GTM,21,0.225
GUY,34,0.138
GUY,36,0.165
